Start_date;End_date;Country;ISO;Location;Latitude;Longitude;Magnitude_value;Magnitude_scale;Disaster_type;Disaster_subtype;Associated_disaster;Associated_disaster2;Total_deaths;Total_affected;Total_damage;Insured_losses;Disaster_name;Disaster_No
29/05/2013;29/05/2013;Mexico;MEX;Chiapas, Oaxaca provinces;;;;Kph;Storm;Tropical cyclone;--;--;4;12000;0;0;Hurricane Barbara;2013-0188
24/10/1981;24/10/1981;Mexico;MEX;Mexico city, Michoacan;18.048;-102.084;7.3;Richter;Earthquake;Ground movement;--;--;3;28;0;0;;1981-0093
25/04/1989;25/04/1989;Mexico;MEX;Near coast of Guerrero;16.773;-99.328;6.9;Richter;Earthquake;Ground movement;--;--;3;350;0;0;;1989-0073
23/08/1992;23/08/1992;Mexico;MEX;Sonora (Basse Californie), Baja, Sinaloa;;;;Kph;Storm;Tropical cyclone;--;--;3;10000;3000;0;Lester;1992-0342
24/09/2001;02/10/2001;Mexico;MEX;Baja California Sur province;;;120;Kph;Storm;Tropical cyclone;--;--;3;3800;400000;150000;Juliette;2001-0562
25/10/2002;26/10/2002;Mexico;MEX;Nayarit, Jalisco, Sinaloa, Colima provinces;;;225;Kph;Storm;Tropical cyclone;--;--;3;9000;200000;0;Kenna;2002-0669
25/09/2010;25/09/2010;Mexico;MEX;Chiapas, Veracruz, Tabasco, Oaxaca, Nuevo León provinces;;;;Kph;Storm;Tropical cyclone;Flood;Slide (land, mud, snow, rock);3;1075;0;0;Tropical storm Matthew;2010-0503
01/02/2011;08/02/2011;Mexico;MEX;Sinaloa, Sonora, Tamaulipas provinces;;;-15;°C;Extreme temperature ;Cold wave;--;--;3;120000;500000;200000;;2011-0105
20/06/2011;20/06/2011;Mexico;MEX;Guerrero, Colima, Jalisco, Michoacan, Oaxaca provinces;;;110;Kph;Storm;Tropical cyclone;Flood;Slide (land, mud, snow, rock);3;450;0;0;"Tropical storm ""Beatrix""";2011-0228
20/07/2011;20/07/2011;Mexico;MEX;Guerrero, Oaxaca provinces;;;150;Kph;Storm;Tropical cyclone;Flood;--;3;200000;0;0;"Tropical storm ""Dora""";2011-0267
07/07/2014;07/07/2014;Mexico;MEX;Chiapas province;14.724;-92.46;6.4;Richter;Earthquake;Ground movement;--;--;3;27000;0;0;;2014-0234
22/08/2014;02/09/2014;Mexico;MEX;Oaxaca, Guerrero provinces;;;220;Kph;Storm;Tropical cyclone;Flood;--;3;30000;14000;0;Hurricane Marie;2014-0325
02/09/2014;11/09/2014;Mexico;MEX;La Paz district (Bafa California Sur province), Manzanillo district (Colima province), Mazatlan district (Sinaloa province), Baja Peninsula, Chihuahua, Jalisco, Nayarit, ;;;205;Kph;Storm;Tropical cyclone;Flood;--;3;7500;25000;0;Hurricane Norbert;2014-0386
07/09/2017;08/09/2017;Mexico;MEX;Tecolutla, Xalapa, Jalcomulco;;;;Kph;Storm;Tropical cyclone;Slide (land, mud, snow, rock);Flood;3;1110;0;0;Hurricane Katia;2017-0392
09/06/1980;09/06/1980;Mexico;MEX;Northwest;32.2;-115.122;6.4;Richter;Earthquake;Ground movement;--;--;2;60;0;0;;1980-0051
24/11/1987;24/11/1987;Mexico;MEX;Mexicali;33.015;-115.852;6.6;Richter;Earthquake;Ground movement;--;--;2;3050;0;0;;1987-0254
28/07/1996;30/07/1996;Mexico;MEX;;;;;Kph;Storm;Tropical cyclone;--;--;2;0;10;0;Cesar and Douglas;1996-0172
02/09/1998;02/09/1998;Mexico;MEX;Mexico's Baja California Peninsula;;;153;Kph;Storm;Tropical cyclone;--;--;2;1660;0;0;Isis;1998-0281
04/10/2001;09/10/2001;Mexico;MEX;Oaxaca province;;;;Kph;Storm;Tropical cyclone;--;--;2;0;1000;0;Iris;2001-0570
22/09/2003;22/09/2003;Mexico;MEX;Sonora, Sinaloa, Nayarit, Jalisco, Colima, Baja California Sur, Baja California provinces;;;166;Kph;Storm;Tropical cyclone;Rain;Flood;2;6000;100000;0;Marty;2003-0474
24/08/2003;27/08/2003;Mexico;MEX;La Paz, Agua Escondida areas (La Paz district, Baja California Sur province), Ciudad Constitucion area (Comondu district, Baja California Sur province);;;;Kph;Storm;Tropical cyclone;Rain;--;2;3000;0;0;Ignacio;2003-0688
18/07/2005;18/07/2005;Mexico;MEX;Playa del Carmen, Cozumel areas (Cozumel district, Quintana Roo province), Merida, Tizimin districts (Yucatan province);;;;Kph;Storm;Tropical cyclone;--;--;2;0;400000;250000;Emily;2005-0382
29/06/2005;30/06/2005;Mexico;MEX;Naranjal, Chinampa De Gorostiza districts (Veracruz province);;;65;Kph;Storm;Tropical cyclone;Flood;--;2;15000;10000;0;Bret;2005-0524
20/07/2008;21/07/2008;Mexico;MEX;Tamaulipas, Veracruz, Yucatan, San Luis Potosi, Nuevo Leon, Coahuila provinces;;;160;Kph;Storm;Tropical cyclone;Flood;Slide (land, mud, snow, rock);2;500000;75000;0;Hurricane Dolly;2008-0304
04/04/2010;04/04/2010;Mexico;MEX;Mexicali district (Baja California province);32.297;15.278;7.2;Richter;Earthquake;Ground movement;--;--;2;25232;1150000;400000;;2010-0158
11/12/2011;11/12/2011;Mexico;MEX;Guerrero province;17.986;-99.789;6.5;Richter;Earthquake;Ground movement;--;--;2;152;0;0;;2011-0512
20/03/2012;20/03/2012;Mexico;MEX;Guerrero, Oaxaca, Mexico provinces;16.493;-98.231;7.4;Richter;Earthquake;Ground movement;--;--;2;49011;320000;160000;;2012-0124
30/09/2019;30/09/2019;Mexico;MEX;Oaxaca state;;;55;Kph;Storm;Tropical cyclone;--;--;2;1000;0;0;Tropical storm 'Narda';2019-0450
10/09/1993;10/09/1993;Mexico;MEX;Mazatlan Area;;;200;Kph;Storm;Tropical cyclone;--;--;1;30000;0;0;Lidia;1993-0204
14/09/1996;14/09/1996;Mexico;MEX;Baja California State;;;;Kph;Storm;Tropical cyclone;--;--;1;8500;0;0;Fausto;1996-0203
12/01/1997;12/01/1997;Mexico;MEX;Arteaga area (Michoacan);17.31 N;101.16 W;7.3;Richter;Earthquake;Ground movement;--;--;1;5000;0;0;;1997-0071
04/09/2014;08/09/2014;Mexico;MEX;Tamaupilas, Veracruz provinces;;;75;Kph;Storm;Tropical cyclone;Rain;--;1;1500;500;0;Tropical storm Dolly;2014-0385
20/09/2019;20/09/2019;Mexico;MEX;Baja California Peninsula, coastal Baja California Sur, Jalisco, Sinaloa, Nayarit, Michoacan, Colima States;;;130;Kph;Storm;Tropical cyclone;Flood;--;1;200;0;0;Tropical cyclone 'Lorena';2019-0418
22/06/1932;22/06/1932;Mexico;MEX;Central;19;-104.5;6.9;Richter;Earthquake;Ground movement;Tsunami/Tidal wave;--;0;2000;0;0;;1932-0018
20/02/1943;20/02/1943;Mexico;MEX;;;;;;Volcanic activity;Ash fall;--;--;0;3000;0;0;Paricutin;1943-0008
//1978;//1978;Mexico;MEX;North;;;;Km2;Drought;Drought;--;--;0;0;0;0;;1978-9016
17/01/1988;17/01/1988;Mexico;MEX;Ensenada;;;140;Kph;Storm;--;--;--;0;0;250000;0;;1988-0045
/05/1988;//1988;Mexico;MEX;Sinaloa, Nayarit provinces;;;;Km2;Drought;Drought;--;--;0;0;0;0;;1988-9181
/07/1989;/07/1989;Mexico;MEX;Quintana Roo;;;;Km2;Wildfire;Forest fire;--;--;0;0;83200;0;;1989-0279
10/03/1993;15/03/1993;Mexico;MEX;;;;;Kph;Storm;Convective storm;--;--;0;0;2500;0;;1993-0012
24/10/1993;24/10/1993;Mexico;MEX;Guerrero state;16.755 N;98.717 W;6.5;Richter;Earthquake;Ground movement;--;--;0;0;0;0;;1993-0086
23/08/1993;23/08/1993;Mexico;MEX;Veracruz State;;;;Kph;Storm;Tropical cyclone;--;--;0;3000;0;0;Irwin;1993-0198
22/07/1994;22/07/1994;Mexico;MEX;Jalisco State;19.50 N;103.60 W;;;Volcanic activity;Ash fall;--;--;0;700;0;0;Colima;1994-0169
21/12/1994;21/12/1994;Mexico;MEX;Puebla State;19.02 N;98.62 W;;;Volcanic activity;Ash fall;--;--;0;75000;0;0;Popocatepelt;1994-0595
05/09/1995;05/09/1995;Mexico;MEX;Baja California Sur;;;193;Kph;Storm;Tropical cyclone;--;--;0;800;0;0;Henriette;1995-0191
20/10/1995;20/10/1995;Mexico;MEX;Chiapas, Tuxtla Gutierrez, Nuevo Mexico, Tenochititlan, La Garza, Alvaro Obregon, Villaflores;16.8 N;93.4 W;6.5;Richter;Earthquake;Ground movement;--;--;0;18000;0;0;;1995-0454
/06/1995;/06/1995;Mexico;MEX;Coahuila, Durango, Chihuahua, Nuevo Leon;;;;Km2;Drought;Drought;--;--;0;0;100000;0;;1995-9119
/05/1996;//1996;Mexico;MEX;North;;;;Km2;Drought;Drought;--;--;0;0;1200000;0;;1996-9097
22/05/1997;22/05/1997;Mexico;MEX;Arteaga, Patzcuaro, Michoacan;18 N;102.5 W;5.9;Richter;Earthquake;Ground movement;--;--;0;12000;0;0;;1997-0116
11/11/1997;11/11/1997;Mexico;MEX;Oaxaca region;;;193;Kph;Storm;Tropical cyclone;--;--;0;3555;0;0;Rick;1997-0275
22/11/1998;22/11/1998;Mexico;MEX;;19.50 N;103.60 W;;;Volcanic activity;Ash fall;--;--;0;758;0;0;Mount Colima, Mount Popocatepel;1998-0389
/02/1999;/02/1999;Mexico;MEX;Jalisco;19.51 N;103.62 W;;;Volcanic activity;Ash fall;--;--;0;650;0;0;Mount Colima;1999-0055
21/06/1999;21/06/1999;Mexico;MEX;Coahuytla, Michoacan, Cuitzeo (Guerrero);18.324;-101.539;6.3;Richter;Earthquake;Ground movement;--;--;0;6500;0;0;;1999-0385
/05/1999;//2000;Mexico;MEX;Coahuila, Chichuahua, Durango, Sonora, Sinoloa State;;;1200;Km2;Drought;Drought;--;--;0;65000;100000;0;;1999-9171
09/08/2000;09/08/2000;Mexico;MEX;Lazaro Cardenas district (Michoacan province);18.198;-102.48;6.5;Richter;Earthquake;Ground movement;--;--;0;1;0;0;;2000-0111
18/12/2000;19/12/2000;Mexico;MEX;Mexico, Puebla, Morelos provinces;19.023;-98.622;;;Volcanic activity;Ash fall;--;--;0;41000;0;0;Popocatépetl;2000-0804
25/07/2001;25/07/2001;Mexico;MEX;Guerrero, Chiapas provinces;;;;Kph;Storm;Tropical cyclone;--;--;0;100;0;0;Dalila;2001-0488
03/10/2001;03/10/2001;Mexico;MEX;Colima, Jalisco, Michoacan, Nayarit, Sinaloa provinces;;;;Kph;Storm;Tropical cyclone;--;--;0;0;0;0;Lorena;2001-0572
21/08/2001;21/08/2001;Mexico;MEX;Quintana Roo province;;;100;Kph;Storm;Tropical cyclone;--;--;0;2500;0;0;Chantal;2001-0735
06/02/2002;06/02/2002;Mexico;MEX;La Yerbabuena village (Cuauhtemoc district, Colima province);19.514;-103.62;;;Volcanic activity;Ash fall;--;--;0;300;0;0;Colima;2002-0072
25/09/2002;25/09/2002;Mexico;MEX;Acapulco De Juarez district (Guerrero province);;;;Kph;Storm;Tropical cyclone;--;--;0;500;0;0;Julio;2002-0647
/04/2002;//2002;Mexico;MEX;Baja California, Coahuila, Tamaulipas, Veracruz, Sinaloa, Tlaxcala, Sonora, San Luis Potosi provinces;;;;Km2;Drought;Drought;--;--;0;0;210000;0;;2002-9292
25/10/2003;04/11/2003;Mexico;MEX;Baja California, Chihuahua, Sonora provinces;;;;Km2;Wildfire;Forest fire;--;--;0;0;0;0;;2003-0518
04/09/2007;06/09/2007;Mexico;MEX;Veracruz, Tamaulipas, San Luis Potosi provinces;14.62;-83.64;;Kph;Storm;Tropical cyclone;Flood;--;0;30000;0;0;Felix;2007-0439
08/11/2009;08/11/2009;Mexico;MEX;Tabasco province;;;;Kph;Storm;Tropical cyclone;--;--;0;40000;0;0;"Hurricane ""Ida""";2009-0477
/03/2011;/05/2011;Mexico;MEX;Acuna, Muzquiz, Ocampo, Arteaga districts (Coahuila province);;;;Km2;Wildfire;Land fire (Brush, Bush, Pasture);Heat wave;--;0;0;0;0;;2011-0161
/09/2011;/12/2011;Mexico;MEX;Nuevo Leon, Guanajuato, Sonora, Chihuahua, Coahuila, Durango, Zacatecas, San Luis Potosi provinces;;;;Km2;Drought;Drought;--;--;0;2500000;0;0;;2011-9363
18/04/2014;18/04/2014;Mexico;MEX;Guerrero, Morelos, Distrito Federal, Michoacan provinces;17.397;100.97;7.2;Richter;Earthquake;Ground movement;--;--;0;381;0;0;;2014-0127
30/05/2014;06/06/2014;Mexico;MEX;Chiapas, Oaxaca provinces;;;40;Kph;Storm;Tropical cyclone;Flood;Slide (land, mud, snow, rock);0;0;0;0;Boris;2014-0183
07/08/2017;07/08/2017;Mexico;MEX;"Quintana Roo State (Yucatan Peninsula); Campeche, Tabasco and Chiapas, Lechuguillas (Veracruz state); Puebla,  Hidalgo states";;;140;Kph;Storm;Tropical cyclone;Flood;Slide (land, mud, snow, rock);0;300;2000;0;Hurricane 'Franklin';2017-0334
16/02/2018;16/02/2018;Mexico;MEX;Oaxaca;16.646;-97.653;7.2;Richter;Earthquake;Ground movement;--;--;0;3004;0;0;;2018-0315
28/11/1991;28/11/1991;Marshall Islands (the);MHL;;;;;Kph;Storm;Tropical cyclone;--;--;0;6000;0;0;Zelda;1991-0456
/05/2013;/05/2013;Marshall Islands (the);MHL;North of the capital Majuro, atolls/islands of Namu, Likiep and Mejit;;;;Km2;Drought;Drought;--;--;0;6384;0;0;;2013-9150
//2015;/05/2016;Marshall Islands (the);MHL;;;;;Km2;Drought;Drought;--;--;0;21000;4900;0;;2015-9496
05/01/2019;05/01/2019;Marshall Islands (the);MHL;;;;;Kph;Storm;Tropical cyclone;--;--;0;0;0;0;Tropical cyclone 'Penny';2018-0469
/12/2001;/12/2001;Macedonia (the former Yugoslav Republic of);MKD;Veles, Kumanovo, Bitola, Skopje provinces;;;-25;°C;Extreme temperature ;Cold wave;--;--;15;0;0;0;;2001-0692
01/07/2004;/07/2004;Macedonia (the former Yugoslav Republic of);MKD;Berovo, Bitola, Brod, Debar, Delcevo, Demir Hisar, Gevgelija, Gostivar, Kavadarci, Kicevo, Kocani, Kratovo, Kriva Palanka, Krusevo, Kumanovo, Negotino, Ohrid, Prilep, Probistip, Radovic, Resen, Skopje, Stip, Struga, Strumica, Sveti Nikole, Tetovo, Valandovo, Veles, Vinica provinces;;;43;°C;Extreme temperature ;Heat wave;--;--;15;0;0;0;;2004-0333
05/01/2017;20/01/2017;Macedonia (the former Yugoslav Republic of);MKD;Skopje, Negotino, Kavadarci, Kumanovo, Bitola, Gostivar, Kriva Palanka, Debar, Sveti Nikole, Struga, Stip, Ohrid provinces, Makedonski Brod district (Brod province), Kivecho (?);;;-25;°C;Extreme temperature ;Severe winter conditions;Snow/ice;--;3;2220;0;0;;2017-0010
/01/2005;/01/2005;Macedonia (the former Yugoslav Republic of);MKD;Berovo, Bitola, Brod, Debar, Delcevo, Demir Hisar, Gevgelija, Gostivar, Kavadarci, Kicevo, Kocani, Kratovo, Kriva Palanka, Krusevo, Kumanovo, Negotino, Ohrid, Prilep, Probistip, Radovic, Resen, Skopje, Stip, Struga, Strumica, Sveti Nikole, Tetovo, Valandovo, Veles, Vinica provinces;;;;Kph;Storm;Convective storm;Cold wave;--;1;3;0;0;;2005-0045
/07/2007;/07/2007;Macedonia (the former Yugoslav Republic of);MKD;Bitola, Tetovo, Krusevo, Veles provinces;;;;Km2;Wildfire;Forest fire;--;--;1;1000000;0;0;;2007-0368
/01/2012;/02/2012;Macedonia (the former Yugoslav Republic of);MKD;Skopje, Veles, Debar, Bitola, Struga, Prilep, Brod, Berevo, Tetovo, Gostivar provinces;;;;°C;Extreme temperature ;Cold wave;--;--;1;5100;0;0;;2012-0019
/12/1993;//1993;Macedonia (the former Yugoslav Republic of);MKD;;;;;Km2;Drought;Drought;Food shortage;--;0;10000;0;0;;1993-9509
/08/2000;/08/2000;Macedonia (the former Yugoslav Republic of);MKD;Berovo, Bitola, Brod, Debar, Delcevo, Demir Hisar, Gevgelija, Gostivar, Kavadarci, Kicevo, Kocani, Kratovo, Kriva Palanka, Krusevo, Kumanovo, Negotino, Ohrid, Prilep, Probistip, Radovic, Resen, Skopje, Stip, Struga, Strumica, Sveti Nikole, Tetovo, Valandovo, Veles, Vinica provinces;;;160;Km2;Wildfire;Forest fire;--;--;0;0;13563;0;;2000-0639
/07/2007;/07/2007;Macedonia (the former Yugoslav Republic of);MKD;Bitola district (Bitola province);;;45;°C;Extreme temperature ;Heat wave;Wildfire;--;0;202;0;0;;2007-0235
28/12/2014;03/01/2015;Macedonia (the former Yugoslav Republic of);MKD;Velmej, Brezhani, Mramorec, Turje, Ozdoleni i Soshani, Vrbjani cities (Belcista district, Ohrid province), Leskovec, Sirula, Kuratica cities (Kosel district, Ohrid province), Mislodezhda, Delogozhda, Koroshishta, Dzepin cities (Delogozdi district, Struga province), Selci, Zbazhdi, Lokov, R'janovo, Burinec cities (Lukovo district, Struga province), Gorna Belica city (Vevcani district, Struga province), Dolna Belitsa city (Velesta district, Struga province), Mali Vlaj, Radozhda cities (Struga district, Struga province), Dolno Tateshi city (Velesta district, Struga province), Dzepiste, Dolno i Gorno Kosovrasti cities (Debar district, Debar province) , Kodzadzik city (Centar Zupa district, Debar province), Tanusevci city (Cucer-Sandevo district, Skopje province), Tomino Selo, Slatina, Inche cities (Makedonski Brod district, Brod province), Benche city (Samokov district, Brod province), D. Dusegubica, G. Dusegubica cities (Drugovo district, Kicevo province), Kumanovo province;;;;°C;Extreme temperature ;Severe winter conditions;--;--;0;8800;0;0;;2014-0496
11/09/2016;11/09/2016;Macedonia (the former Yugoslav Republic of);MKD;Skopje province;42.009;21.49;5.1;Richter;Earthquake;Ground movement;--;--;0;100;10000;0;;2016-0335
//1910;//1914;Mali;MLI;;;;;Km2;Drought;Drought;--;--;0;0;0;0;;1910-9006
//1940;//1944;Mali;MLI;;;;;Km2;Drought;Drought;--;--;0;0;0;0;;1940-9002
/01/1966;//1966;Mali;MLI;Kayes, Bamako, Gao;;;;Km2;Drought;Drought;--;--;0;0;0;0;;1966-9005
//1978;//1978;Mali;MLI;Niger River area;;;;Km2;Drought;Drought;--;--;0;0;0;0;;1976-9152
/01/1980;//1985;Mali;MLI;Western region;;;;Km2;Drought;Drought;--;--;0;1500000;0;0;;1980-9114
/03/1991;//1991;Mali;MLI;;;;;Km2;Drought;Drought;--;--;0;302000;0;0;;1991-9346
/04/2001;//2001;Mali;MLI;"Bamako, Gao, Kayes, Koulikoro, Mopti, Segou, Sikasso provinces; Dire, Gourma-Rharous, Niafunke districts (Tombouctou province) (South/Sahel region)";;;;Km2;Drought;Drought;Famine;--;0;0;0;0;;2001-9044
//2005;//2006;Mali;MLI;Mopti, Kayes, Tombouctou, Gao provinces;;;;Km2;Drought;Drought;Food shortage;--;0;1000000;0;0;;2005-9142
/08/2006;/09/2006;Mali;MLI;Kidal province;;;;Km2;Drought;Drought;Famine;--;0;25000;0;0;;2006-9425
/06/2010;//2010;Mali;MLI;Kayes, Tombouctou, Kidal, Gao provinces;;;;Km2;Drought;Drought;--;--;0;600000;0;0;;2010-9249
//2011;//2012;Mali;MLI;Kayes, Koulikoro, Mopti, Segou provinces;;;;Km2;Drought;Drought;Food shortage;--;0;3500000;0;0;;2011-9661
02/05/2008;03/05/2008;Myanmar;MMR;Labutta, Mawlamyinegyunn areas (Myaungmya district, Ayeyawaddy province), Ngapudaw area (Pathein district, Ayeyawaddy province), Bogale, Dedaye, Kyaiklat areas (Pyapon district, Ayeyawaddy province), Kungyangon, Kawhmu, Twantay, Kyauktan areas (Yangon(S) district, Yangon province), Bago (E), Bago (W), Kayin, Kayar, Mon provinces;;;215;Kph;Storm;Tropical cyclone;Flood;--;138366;2420000;4000000;0;Cyclone Nargis;2008-0184
19/05/1926;19/05/1926;Myanmar;MMR;Arrakan;;;;Kph;Storm;Tropical cyclone;--;--;2700;40000;0;0;;1926-0005
10/05/1968;10/05/1968;Myanmar;MMR;North Arakan Coast;;;;Kph;Storm;Tropical cyclone;--;--;1070;90000;2500;0;;1968-0049
21/04/1936;21/04/1936;Myanmar;MMR;Arakan Coast;;;;Kph;Storm;Tropical cyclone;--;--;1000;150000;0;0;;1936-0004
04/05/1902;04/05/1902;Myanmar;MMR;Rangoon;;;;Kph;Storm;Tropical cyclone;--;--;600;0;0;0;;1902-0005
05/05/1930;05/05/1930;Myanmar;MMR;Pegu, Rangoon;17.86;96.43;7.5;Richter;Earthquake;Ground movement;Tsunami/Tidal wave;--;500;0;0;0;;1930-0006
19/05/2004;19/05/2004;Myanmar;MMR;Myebon, Sittwe, Ponnagyun, Pauktaw, Mrauk-U, Minbya areas (Sittwe district, Rakhine province), Kyaukpyu, Ann areas (Kyaukpyu district, Rakhine province);;;160;Kph;Storm;Tropical cyclone;Flood;Surge;236;25000;688;0;;2004-0235
/05/1975;/05/1975;Myanmar;MMR;;;;;Kph;Storm;Tropical cyclone;--;--;200;0;0;0;;1975-0139
23/10/1967;23/10/1967;Myanmar;MMR;North West Coast-Akyab, Monywa;;;;Kph;Storm;Tropical cyclone;--;--;178;27319;3200;0;;1967-0068
23/10/1965;23/10/1965;Myanmar;MMR;South, Central;;;;Kph;Storm;Tropical cyclone;--;--;100;500000;1000;0;;1965-0060
16/05/1967;16/05/1967;Myanmar;MMR;Arakan Coast, West Irraw;;;;Kph;Storm;Tropical cyclone;--;--;100;130200;5000;0;;1967-0036
24/03/2011;24/03/2011;Myanmar;MMR;Tarlay area (Tachileik district, Shan (E) province);20.687;99.822;6.9;Richter;Earthquake;Ground movement;--;--;74;21277;3600;0;;2011-0090
26/12/2004;26/12/2004;Myanmar;MMR;Kawthoung, Pyapon, Pathein districts (Ayeyawaddy province), Kawthoung district (Taninthayi province), Sittwe district (Rakhine province);3.295;95.982;9.1;Richter;Earthquake;Tsunami;--;--;71;15700;500000;0;;2004-0659
18/07/1930;18/07/1930;Myanmar;MMR;Tharrawaddy;17.4;95.5;;Richter;Earthquake;Ground movement;--;--;50;0;0;0;;1930-0030
22/10/2010;22/10/2010;Myanmar;MMR;Kyaukpyu, Manaung areas (Kyaukpyu district, Rakhine province), Minbya, Myebon, Pauktaw areas (Sittwe district, Rakhine province), Salin area (Minbu district, Magway province), Seikphyu, Pakokku, Paukkhaung areas (Pakokku district, Magway province);;;193;Kph;Storm;Tropical cyclone;Tsunami/Tidal wave;Flood;45;260049;57000;0;"Cyclone ""Giri""";2010-0554
11/11/2012;11/11/2012;Myanmar;MMR;Chaung-U area (Monywa district, Sagaing province), Kyaukmyaung village (Shwebo district, Sagaing province), Myaung area (Sagaing district, Sagaing province), Mogok, Singu, Thabeikkyin areas (Pyin-Oo-Lwin district, Mandalay province), Kyaukse district (Mandalay province);23.005;95.885;6.8;Richter;Earthquake;Ground movement;Slide (land, mud, snow, rock);--;38;1486;1170;0;;2012-0417
04/12/1930;04/12/1930;Myanmar;MMR;Nyauglebin, Toungoo, Pyu;18.233;96.298;7.4;Richter;Earthquake;Ground movement;--;--;36;0;0;0;;1930-0017
29/04/2006;05/05/2006;Myanmar;MMR;Hlinethaya area (Yangon(N) district, Yangon province), Ayeyawaddy, Rakhine provinces;18.37;94.95;240;Kph;Storm;Tropical cyclone;Flood;--;34;60106;0;0;Mala;2006-0241
29/04/2016;03/05/2016;Myanmar;MMR;Mandalay city (Mandalay district, Mandalay province);;;;Kph;Storm;Convective storm;--;--;18;87944;2600;0;;2016-0189
02/05/1994;02/05/1994;Myanmar;MMR;Maungdaw, Buthidaung, Rakhine State;;;;Kph;Storm;Tropical cyclone;--;--;17;64970;10000;0;;1994-0615
04/05/2018;04/05/2018;Myanmar;MMR;Hpakant (Kachine state);;;;;Mass movement (dry);Landslide;--;--;17;0;0;0;;2018-0154
26/12/1941;26/12/1941;Myanmar;MMR;Myanmar-China border region;22.408;99.814;7.2;Richter;Earthquake;Ground movement;--;--;15;0;0;0;;1941-0016
21/04/2016;23/04/2016;Myanmar;MMR;Sagaing, Madalay, Magway, Shan, Shin provinces;;;;Kph;Storm;Convective storm;Flood;Hail;14;12012;2000;0;;2016-0138
04/05/1982;04/05/1982;Myanmar;MMR;South West;;;;Kph;Storm;Tropical cyclone;--;--;11;36000;0;0;;1982-0057
11/04/1981;11/04/1981;Myanmar;MMR;Taungdwingyi, central Burma;;;;Km2;Wildfire;Forest fire;--;--;8;48588;0;0;;1981-0045
07/05/1923;07/05/1923;Myanmar;MMR;Maungdaw;;;;Kph;Storm;Tropical cyclone;--;--;6;0;0;0;;1923-0004
24/08/2016;24/08/2016;Myanmar;MMR;Magway, Mandalay, Rakhine, Sagaing provinces;20.923;94.569;6.8;Richter;Earthquake;Ground movement;--;--;4;1152;10000;0;;2016-0383
04/04/2015;05/04/2015;Myanmar;MMR;Chin, Kachin, Sagaing, Shan (N) provinces;;;;Kph;Storm;Convective storm;--;--;3;0;0;0;;2015-0118
25/05/1963;25/05/1963;Myanmar;MMR;Akyab;;;;Kph;Storm;Tropical cyclone;--;--;0;200;0;0;;1963-0012
17/05/1978;17/05/1978;Myanmar;MMR;Arakan division;;;;Kph;Storm;Tropical cyclone;--;--;0;132000;0;0;;1978-0070
/02/1979;/02/1979;Myanmar;MMR;;;;;Km2;Wildfire;Forest fire;--;--;0;30000;11000;0;;1979-0023
05/01/1991;05/01/1991;Myanmar;MMR;Thabeikkyin area;23.5 N;96.3 E;7.2;Richter;Earthquake;Ground movement;--;--;0;160;0;0;;1991-0001
12/07/1995;12/07/1995;Myanmar;MMR;Shan state;21.966 N;99.196 E;7.1;Richter;Earthquake;Ground movement;--;--;0;0;0;0;;1995-0148
01/06/2017;09/06/2017;Myanmar;MMR;Chin, Ayeyarwady, Magway, Sagaing, Rakhine (worst is Buthidaung, Maungdaw-Arakan ) state;;;;Kph;Storm;Tropical cyclone;--;--;0;107520;0;0;Cyclone Mora;2017-0152
/02/2012;/02/2012;Montenegro;MNE;Kolasin, Mojkovac, Berane, Andrijevica, Plav, Rozaj, Bijelo Polje, Pljevlja, Zabljak, Savnik, Pluzine, Niksic, Cetinje, Bar provinces;;;;°C;Extreme temperature ;Cold wave;--;--;1;4500;0;0;;2012-0019
16/07/2017;18/07/2017;Montenegro;MNE;Lustica (Tivat), Kotor, Tivat, Herceg Novi;;;;Km2;Wildfire;Forest fire;--;--;0;200;0;0;;2017-0297
02/12/1957;02/12/1957;Mongolia;MNG;Altay;46.14 N;92.35 E;;Richter;Earthquake;Ground movement;--;--;1200;0;0;0;;1957-0012
26/05/2008;/06/2008;Mongolia;MNG;Arxangai, Bayan-O'lgii, Bayanxongor, Bulgan, Darxan-Uul, Dornod, Dornogovi, Dundgovi, Govi-Altai, Govisu'mber, O'mnogovi, Orxon, O'vorxangai, Selenge, Su'xbaatar, To'v, Ulaanbaatar, Uvs, Xentii, Xovd, Xo'vsgol, Zavxan provinces;;;;Kph;Storm;Convective storm;--;--;52;0;0;0;;2008-0223
21/04/1990;21/04/1990;Mongolia;MNG;;;;101;Kph;Storm;Convective storm;--;--;36;0;0;0;;1990-0268
08/04/1996;09/05/1996;Mongolia;MNG;Huvsgul, Bulgan, Arkhangai, Khentii, Tuv, Dornod, Uvs;;;80000;Km2;Wildfire;Forest fire;--;--;25;5061;1712800;0;;1996-0074
/12/2000;/12/2000;Mongolia;MNG;Arxangai, Bayan-O'lgii, Bayanxongor, Bulgan, Darxan-Uul, Dornod, Dornogovi, Dundgovi, Govi-Altai, Govisu'mber, O'mnogovi, Orxon, O'vorxangai, Selenge, Su'xbaatar, To'v, Ulaanbaatar, Uvs, Xentii, Xovd, Xo'vsgol, Zavxan provinces;;;;Kph;Storm;Convective storm;--;--;19;571000;0;0;;2000-0815
